"region_id","region_name","rule_group","rule_priority","criterion_id","criterion_role","feature_name","source_product","source_field_or_derivation","operator","threshold_low","threshold_high","reference_value","unit","config_key","condition_expression","usable_with_current_local_data","code_status","threshold_basis","weight","description_cn","paper_body_pages","paper_pdf_pages","notes"
"0","Unknown","U0_FALLBACK","99","U0_01","fallback","no_confident_region","region classifier","all active region scores and hard gates","fallback","","","","","","no region in {1,2,3,4} passes confidence and conflict checks","1","classifier_logic_required","implementation_rule","0","ID 1–4 均无充分证据时输出 Unknown","not explicitly defined","not explicitly defined","Unknown 不是独立物理区域，不应由单一固定阈值触发"
"0","Unknown","U0_FALLBACK","99","U0_02","required","required_data_valid","SWEA svypad + STATIC c6-32e64m + MAG ss1s","nearest-time validity, quality flags, finite-value coverage","equal","","","false","boolean","","required_data_valid == false","1","partial_existing_status_fields","implementation_rule","0","关键数据缺失或质量不足时输出 Unknown","52-54","53-55","当前 PAD/shape/topology 输出已有 valid、reason、status 字段；STATIC 仍需统一质量标志"
"0","Unknown","U0_FALLBACK","99","U0_03","fallback","region_score_conflict","region classifier","top two region scores and hard-gate results","greater_equal","","","","","","abs(best_score - second_score) <= REGION_SCORE_TIE_MARGIN or multiple hard classifications pass","1","classifier_logic_required","calibration_required","0","多个区域同时满足且无法消除冲突时输出 Unknown","52-54","53-55","REGION_SCORE_TIE_MARGIN 需用标注事件校准"
"0","Unknown","U0_BOUNDARY","5","U0_04","support","boundary_proximity","MAG ss1s position + boundary models","minimum distance to bow shock, MPB, ionopause or PEB model","less_equal","","","","km","BOUNDARY_MARGIN_KM","min_abs_boundary_distance_km <= BOUNDARY_MARGIN_KM","0","missing_boundary_models","calibration_required","3","靠近主要边界时优先标记为过渡区/Unknown","52-54","53-55","本地有 MSO 位置，但尚未接入 bow shock、MPB、ionopause/PEB 模型"
"0","Unknown","U0_CURRENT_SHEET","4","U0_05","support","current_sheet_signature","MAG ss1s","rolling |B| minimum plus B-component sign reversal","custom","","","","","CURRENT_SHEET_WINDOW_S;CURRENT_SHEET_B_DIP_RATIO","nightside and b_magnitude_dip and magnetic_component_reversal","1","feature_extractor_required","calibration_required","4","夜侧 current sheet 中心不视为稳定 lobe，默认输出 Unknown","56","57","也可将 region_id 保留为 4 并另加 current_sheet 子标签"
"1","Solar wind","R1_SOLAR_WIND","10","R1_01","support","outside_bow_shock","MAG ss1s position + bow-shock model","MSO position relative to modeled bow shock","equal","","","true","boolean","","outside_bow_shock == true","0","missing_bow_shock_model","paper_geometry","4","位于弓激波外侧","49","50","模型接入后建议升级为 required"
"1","Solar wind","R1_SOLAR_WIND","10","R1_02","support","proton_peak_energy","STATIC c6-32e64m","H+ mass-band energy-flux peak energy","greater_than","1000","","1000","eV","","hplus_peak_energy_eV > 1000","1","feature_extractor_required","paper_threshold","4","太阳风质子漂移能量通常高于 1 keV","22,49","23,50","STATIC 已有 mass_arr、energy、eflux，需提取 H+ 质量带峰值"
"1","Solar wind","R1_SOLAR_WIND","10","R1_03","support","proton_beam_width","STATIC c6-32e64m","H+ energy-spectrum log-energy width","less_than","","","","dex","SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","hplus_log_energy_width < SOLAR_WIND_MAX_HPLUS_LOG_WIDTH","1","feature_extractor_required","calibration_required","3","H+ 离子束较窄","49","50","论文未给出可直接编码的谱宽阈值"
"1","Solar wind","R1_SOLAR_WIND","10","R1_04","support","hplus_flux_fraction","STATIC c6-32e64m","H+ flux divided by total valid ion flux","greater_equal","","","0.95","fraction","HPLUS_DOMINANCE_MIN","hplus_flux_fraction >= HPLUS_DOMINANCE_MIN","1","feature_extractor_required","calibration_required","2","太阳风以 H+ 为主，典型组分约 95% H+","21","22","95% 是典型组分而非严格分类阈值，HPLUS_DOMINANCE_MIN 需校准"
"1","Solar wind","R1_SOLAR_WIND","10","R1_05","support","flow_speed","SWIA onboard survey moments","norm(velocity_mso)","between_inclusive","300","400","","km/s","","300 <= flow_speed_km_s <= 400","0","missing_local_swia_product","paper_typical_range","3","典型太阳风速度约 300–400 km/s","22,49","23,50","变量清单中存在 SWIA moments，但本地 data/maven/swi 产品缺失"
"1","Solar wind","R1_SOLAR_WIND","10","R1_06","support","proton_density","SWIA onboard survey moments","density","between_inclusive","1","3","","cm^-3","","1 <= proton_density_cm3 <= 3","0","missing_local_swia_product","paper_typical_range","2","典型太阳风质子密度约 1–3 cm^-3","22,49-52","23,50-53","当前本地数据不能执行"
"1","Solar wind","R1_SOLAR_WIND","10","R1_07","support","magnetic_field_magnitude","MAG ss1s","rolling median norm([Bx,By,Bz])","less_than","","5","2-4","nT","","b_magnitude_median_nT < 5","1","feature_extractor_required","paper_threshold","3","上游 IMF 通常低于约 5 nT","22,49","23,50","建议对短窗口取中位数，避免单点尖峰"
"1","Solar wind","R1_SOLAR_WIND","10","R1_08","support","magnetic_field_variability","MAG ss1s","rolling robust std(|B|) divided by rolling median(|B|)","less_than","","","","fraction","SOLAR_WIND_MAX_B_REL_STD","b_relative_std < SOLAR_WIND_MAX_B_REL_STD","1","feature_extractor_required","calibration_required","2","上游磁场相对平稳","49","50","论文未给出波动阈值"
"1","Solar wind","R1_SOLAR_WIND","10","R1_09","support","photoelectron_absent","shape_parameter_method","away_shape_class and toward_shape_class","equal","","","true","boolean","","away_shape_class == 'SWe' and toward_shape_class == 'SWe'","1","existing_derived_output","project_existing_rule","2","无稳定火星电离层光电子谱形","49","50","使用现有 Phe/SWe 方向谱分类"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_01","support","between_bow_shock_and_mpb","MAG ss1s position + boundary models","MSO position relative to bow shock and MPB","equal","","","true","boolean","","inside_bow_shock == true and outside_mpb == true","0","missing_bow_shock_and_mpb_models","paper_geometry","4","位于 bow shock 内侧、MPB 外侧","51","52","模型接入后建议升级为 required"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_02","support","hplus_dominant","STATIC c6-32e64m","H+ flux divided by total valid ion flux","greater_equal","","","","fraction","MAGNETOSHEATH_MIN_HPLUS_FRACTION","hplus_flux_fraction >= MAGNETOSHEATH_MIN_HPLUS_FRACTION","1","feature_extractor_required","calibration_required","2","磁鞘仍以太阳风 H+、He2+ 为主","51-53","52-54","靠近 MPB 时行星重离子比例会增加"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_03","support","broadened_proton_spectrum","STATIC c6-32e64m","H+ log-energy width relative to upstream baseline","greater_than","","","1","ratio","MAGNETOSHEATH_MIN_WIDTH_RATIO","hplus_log_energy_width / upstream_hplus_log_energy_width > MAGNETOSHEATH_MIN_WIDTH_RATIO","1","feature_extractor_required","calibration_required","4","弓激波后质子束显著展宽","51","52","需要同轨上游基线或事件级参考"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_04","support","flow_speed","SWIA onboard survey moments","norm(velocity_mso)","less_than","","100","100","km/s","","flow_speed_km_s < 100","0","missing_local_swia_product","paper_threshold","3","磁鞘流速可降至 100 km/s 以下","51-52","52-53","当前本地数据不能执行"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_05","support","density_compression","SWIA onboard survey moments","density divided by upstream density","greater_than","","","1","ratio","MAGNETOSHEATH_MIN_DENSITY_RATIO","proton_density_cm3 / upstream_proton_density_cm3 > MAGNETOSHEATH_MIN_DENSITY_RATIO","0","missing_local_swia_product","calibration_required","2","磁鞘密度高于太阳风，可压缩数倍","51-52","52-53","论文未给出统一倍数阈值"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_06","support","magnetic_compression","MAG ss1s","rolling median |B| divided by upstream |B|","greater_than","","","1","ratio","MAGNETOSHEATH_MIN_B_RATIO","b_magnitude_median_nT / upstream_b_magnitude_nT > MAGNETOSHEATH_MIN_B_RATIO","1","feature_extractor_required","calibration_required","3","磁鞘磁场比上游增强，典型可达约 4 倍","51-52","52-53","约 4 倍是典型描述，不作为固定硬阈值"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_07","support","magnetic_turbulence","MAG ss1s","rolling robust std(|B|) divided by rolling median(|B|)","greater_than","","","","fraction","MAGNETOSHEATH_MIN_B_REL_STD","b_relative_std > MAGNETOSHEATH_MIN_B_REL_STD","1","feature_extractor_required","calibration_required","3","磁鞘磁场波动和湍动增强","51-52","52-53","需用已知磁鞘事件校准"
"2","Magnetosheath","R2_MAGNETOSHEATH","20","R2_08","support","photoelectron_absent","shape_parameter_method","away_shape_class and toward_shape_class","equal","","","true","boolean","","away_shape_class == 'SWe' and toward_shape_class == 'SWe'","1","existing_derived_output","project_existing_rule","2","磁鞘通常无稳定电离层光电子峰","51","52","不能单独作为磁鞘判据"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_01","required","dayside","PAD_score_method from MAG ss1s position","sza_deg","less_than","","90","90","deg","","sza_deg < 90","1","existing_derived_output","geometry_definition","0","日侧电离层分支","32-35,54-56","33-36,55-57","日侧规则要求光电子证据；终止线附近可另设缓冲带"
"3","Ionosphere","R3_DAYSIDE_IONOSPHERE","30","R3D_02","support","ionospheric_altitude","PAD_score_method from MAG ss1s position","altitude_km","between_inclusive","100","400","","km","","100 <= altitude_km <= 400","1","existing_derived_output","paper_typical_range","3","论文给出的电离层大致高度范围为 100–400 km","32","33","不是严格几何边界，不建议作为唯一 required 条件"
