criterion_or_feature,runtime_status,implementation,notes
outside_bow_shock,active_minor_confidence_support,bow_shock.models.GRUESBECK_2018_MSO,"Adds 0.03 only after observational ID 1 selection; cannot create/reject/select a label"
between_bow_shock_and_mpb,active_minor_confidence_support,bow_shock.models plus VIGNES_2000_MPB,"Adds 0.03 only after observational ID 2 selection; cannot create/reject/select a label"
inside_mpb,active_minor_confidence_support,VIGNES_2000_MPB,"Adds 0.03 only after observational ID 3/4 selection; cannot create/reject/select a label"
boundary_margin,active_bonus_exclusion,classify_region_sample,"Within 100 km no geometry bonus is applied; proximity no longer forces ID 0"
region_evidence_conflict,active_required,classify_region_sample,"Top observational scores separated by less than 0.08 produce ID 0; boundaries cannot break the conflict"
required_mag_position,active_required,load_magnetic_geometry_interval,"Missing or nonfinite MAG position produces region_id 0"
swia_moment_quality,active_required,load_swia_moments_interval,"quality_flag=1; decom_flag=1; valid attenuator; 60 s coverage and gap checks"
upstream_reference,active_optional,_build_upstream_segments,"Fast stable dayside/far-field segments; bow-model location is diagnostic only; local then bracketing then nearest within 6 h"
normalized_solar_wind,active_required,_derive_plasma_signatures,"n and B ratios 0.70-1.30; speed ratio 0.85-1.15"
normalized_magnetosheath,active_required,_derive_plasma_signatures,"density ratio >=1.50; B ratio >=2.00; speed ratio 0.35-0.85"
reference_free_magnetosheath,active_alternative,_derive_plasma_signatures,"At least 3 of slow flow; heating; deflection; B fluctuations; spectrum broadening"
swia_spectrum_width,active_support,load_swia_spectra_interval,"Positive-count differential-energy-flux weighted log10 energy width"
hplus_flux_fraction,active_optional_support,load_static_features_interval,"H+ >=0.50 supports ID 2 but missing STATIC does not block it"
planetary_ion_contradiction,active_reference_free_reject,_derive_plasma_signatures,"Heavy-ion fraction >=0.45 and H+ fraction <0.50 rejects the reference-free ID 2 path"
ionospheric_altitude,active_support,classify_region_sample,"Altitude <=400 km requires cold heavy ions or photoelectrons; statistical MPB is not required"
planetary_heavy_ion_dominance,active_support,load_static_features_interval,"Mass >=12 amu summed valid energy-flux fraction; default threshold 0.45"
cold_planetary_ion_energy,active_support,load_static_features_interval,"Planetary-heavy-ion peak <=10 eV"
photoelectron_present,active_support,load_swe_features_interval,"20-30 eV center-to-shoulder ratio; supports low-altitude ionosphere"
multichannel_electron_depletion,active_required,load_swe_features_interval,"At least 3 valid 30-80 eV channels; >=75% and median below threshold for ID 4"
lobe_proton_density,active_if_available,load_swia_moments_interval,"Matched valid density must be <=0.50 cm^-3; missing density lowers confidence"
nightside,active_required,classify_region_sample,"Lobe requires SZA >=100 deg"
tailward_position,active_required,classify_region_sample,"Lobe requires abs(median Bx)/norm(median B) >=0.50"
lobe_magnetic_field_strength,active_required,_sample_magnetic_context,"Rolling median 5-25 nT"
ordered_magnetic_field,active_required,_sample_magnetic_context,"Relative |B| std <=0.25 and direction RMS dispersion <=25 deg"
current_sheet_signature,active_structure_flag,_sample_magnetic_context,"Written to structure_flags; does not overwrite background region_id"
static_sample_quality,diagnostic_only,load_static_features_interval,"Valid-bin and summed-flux diagnostics are exported"
solar_wind_dynamic_pressure,not_implemented,none,"Density and velocity are present but pressure is not required by this revision"
